location,id,IdLugar,Nombre,Descripcion,Direccion,Municipio,Estado,Facebook,homepage,Latitud,Longitud,websitecontact,Categoria,Genero,Fecha,Hora,Lugar
México,16v8zpakfg7s-rm,KovZpZAJllnA,Danny Ocean.,"Danny Ocean pondrá a bailar a sus fans de la capital mexicana Viernes, 21 de agosto – Pepsi Center WTC 20:00 horas Venta general: martes, 25 de febrero Tras el lanzamiento de su disco debut, 54+1, Danny Ocean continúa expandiendo su éxito. Hace unos días, dio a conocer su nuevo sencillo Que lo que, una canción compuesta y producida por Danny Ocean junto a Vfro. A diferencia de sus pasados singles, el cantante apostó, en esta ocasión, por un tema más reivindicativo; en contra de la opresión y la violencia policial, a favor de la libertad de expresión. Una copla dedicada especialmente a sus compatriotas. Por otro lado, Danny Ocean fue nominado en la categoría Album Latin Pop del Año de los premios Billboard por 54+1, disco que lo ha puesto en la mira de la crítica especializada y el público. Está compuesto por 13 canciones, donde destacan Dembrow y Me rehusó; éste último catalogado por la plataforma Spotify como ""el track de la década"" en más de cuatro países de América Latina.","Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/danny-ocean-mexico-distrito-federal-07-22-2021/event/1400585188C61BF7,Music,Latin,2021-07-22,20:00:00,Pepsi Center WTC
México,g5v8zpl2v0pij,KovZpZAJt1EA,Big Band Jazz De Mexico,"La espectacular Big Band Jazz de México vuelve a nuestro escenario con un sentido tributo póstumo al maestro Armando Manzanero y a su prolífico talento como compositor que resultó en la creación de más de 400 canciones, incluidos varios de los clásicos más grandes de la música latina, muchos de los cuales interpretarán en esta celebración dedicada al extraordinario legado del músico yucateco.",Av. Chapultepec y Av. Cuauhtémoc,México,Distrito Federal,null,null,19.4251595,-99.1556396,https://www.ticketmaster.com.mx/big-band-jazz-de-mexico-mexico-distrito-federal-07-03-2021/event/14005AB3C1925B1C,Music,Jazz,2021-07-03,20:30:00,Centro Cultural Teatro I
México,g5v8zpn8-a4j2,KovZpZAJkdkA,Evento de prueba,null,Calle Lucerna. No. 64 Esquina con calle Milán,México,Distrito Federal,null,null,19.42995,-99.156697,https://www.ticketmaster.com.mx/evento-de-prueba-mexico-distrito-federal-12-31-2021/event/14005AA42115570F,Music,Undefined,2021-12-31,12:00:00,Teatro Milán
México,1av8zpagkil5es_,KovZpZAJllnA,Global Ska Fest,"Para abrir boca de este gran menú musical, se presentará una de las máximas leyendas del 2 Tone, Bad Manners, liderado por el carismático cantante Buster Bloodvessel. Provenientes de la tierra del sonido rastafari, Jamaica, llegarán The Skatalites quienes al ritmo de ska, reggae, rocksteady y dancehall pondrán a bailar a todos. La lista de talento continúa con la presencia del cantante e ícono jamaiquino, con 5 décadas de excepcional carrera musical, Stranger Cole. También, estarán presentes la New York Ska Jazz Ensemble quienes fieles a su tradicional ritmo, armarán el baile a lo grande. Asimismo, aterrizará en nuestro país, por vez primera, la OBMJ, la Orquesta Brasileira de Musica Jamaicana. Oriundos de Colombia, La Toma llegará con todo su arsenal sonoro para poner a mover el cuerpo hasta al más incauto. Mientras que por El Salvador estarán presentes los Blue Beat Makers. El talento nacional estará encabezado por la mejor banda de ska de Monterrey, Inspector.","Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/global-ska-fest-mexico-distrito-federal-11-06-2021/event/1400585A1F2E7CD9,Music,Other,2021-11-06,12:00:00,Pepsi Center WTC
México,1kazvbcfgaulsye,KovZpZAJllnA,Lola Club,null,"Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/lola-club-mexico-distrito-federal-02-19-2022/event/140058388DAF1E67,Music,Reggae,2022-02-19,20:00:00,Pepsi Center WTC
México,1afzajugkexrdzi,KovZpZAJllnA,I Love Dance 2020,"+Mas Label y EMPO presentan: I LOVE DANCE 2020 Después del éxito obtenido en 2019, el festival de música dance con los artistas que marcaron a toda una generación, apuesta todo en su segunda edición con una fiesta con destacados artistas de la música dance. I LOVE DANCE transformará una vez más el Pepsi Center WTC en la Ciudad de México para ofrecer una experiencia completa con nuevos artistas e increíble producción el próximo 21 de marzo de 2020. Durante la tan esperada segunda entrega del festival I LOVE DANCE traerá una energía completamente nueva a la ciudad con una línea giratoria de icónicos artistas de los años 90; algunos nunca antes vistos en México y los cuales se han ido revelando semana a semana a través de sus redes sociales. La Fase 1 del line up para este concierto consta de la participación de: Lasgo (Something, Alone, Surrender), Ann Lee (Two Times, Voices), Ian Van Dahl (Castles in the Sky), Mr President (Coco Jambo).","Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/i-love-dance-2020-mexico-distrito-federal-04-02-2022/event/14005736A2BC3E28,Music,World,2022-04-02,20:00:00,Pepsi Center WTC
México,g5v8zpnst0gse,KovZpZAJllnA,L'Imperatrice en vivo,"L'Impératrice es una banda francesa de pop y disco, fundada en París en 2012. Este ambicioso nombre esconde en realidad a un grupo que comanda el músico Charles deBoisseguin y que lleva en activo desde 2012, cuando publicaron un primer EP homónimo en el queya establecían sus pautas sonoras principales: música bailable pero elegante, arreglos exquisitoscon querencia retro-funk y jazz y aspiraciones cinematográficas. Ya en 2015 L'Impératrice ampliaban su formación con la presencia de Fleur, una vocalistaproveniente de la escena parisina del jazz. Uno de sus sencillos más escuchados hasta la fecha es ""Vanille fraise"" el cual cuenta con más de40 millones de reproducciones.","Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/limperatrice-en-vivo-mexico-distrito-federal-04-28-2022/event/14005AACFF935C42,Music,Dance/Electronic,2022-04-28,20:00:00,Pepsi Center WTC
Mexico,16v8z4gfeg7m9hx,KovZpZAEvAEA,TesseracT,"Tesseract regresa a cdmx éste 7 de abril en el Foro Indie Rocks con su más reciente material: Sonder. Los británicos, ganadores del Progressive Music Awards en 2012 por su primer álbum: One, son pioneros del estilo denominado Djent que vino a revolucionar la música.",Zacatecas 39 Colonia Roma,Mexico,Distrito Federal,[{'url': 'https://www.facebook.com/tesseractband'}],null,19.4166393,-99.1560974,https://www.ticketmaster.com.mx/tesseract-mexico-distrito-federal-03-13-2022/event/1400575202DD7F22,Music,Metal,2022-03-13,20:00:00,Foro Indie Rocks
México,16fzaqp0nza57a85,KovZpZA6JttA,María León,"María León se presentará con su gira Inquebrantable en el Teatro Metropólitan el próximo sábado 21 de marzo de 2020. La intérprete que actualmente protagoniza el musical Chicago como Roxie Hart, regresa a los escenarios como solista para entregarse a su público con sus grandes éxitos para deleitar a sus seguidores. Su talento la ha llevado a compartir escenario con estrellas de la música mexicana como Juan Gabriel, Eugenia León, Tania Libertad, Guadalupe Pineda, Los Ángeles Azules, Franco De Vita, Mijares, entre otros. El próximo sábado 21 de marzo de 2020, María León llegará Inquebrantable al Teatro Metropólitan para demostrar que es una de las mejores cantantes de la escena pop en nuestro país.","Independencia #90 Col. Centro, entre las calles de Balderas",México,Distrito Federal,null,null,19.433457,-99.146811,https://www.ticketmaster.com.mx/maria-leon-mexico-distrito-federal-10-02-2021/event/14005765923A38FA,Music,Ballads/Romantic,2021-10-02,20:00:00,Teatro Metropolitan
México,1afzaragkdw4fh6,KovZpZA6JttA,EMPO Sinfónico,"Es la representación de la música electrónica en un estado tan puro que nunca antes la habías escuchado y vivido. Una orquesta filarmónica con más de 50 músicos en el escenario recorriendo un viaje de recuerdos e himnos que la música electrónica en todos sus géneros. Este espectáculo sinfónico está basado en las pistas más icónicas y formativas de todos los tiempos, y será una mágica experiencia audiovisual que se vivirá por una noche en uno de los teatros más reconocidos y hermosos de la Ciudad de México. El ensamble esta´ conformado por una elite de músicos profesionales Mexicanos, quienes se reúnen exclusivamente para participar en proyectos artísticos del más alto nivel, así´ como grandes invitados de renombre mundial.","Independencia #90 Col. Centro, entre las calles de Balderas",México,Distrito Federal,null,null,19.433457,-99.146811,https://www.ticketmaster.com.mx/empo-sinfonico-mexico-distrito-federal-12-11-2021/event/14005785FD5546C7,Music,Dance/Electronic,2021-12-11,21:30:00,Teatro Metropolitan
México,1afzajzgkeibnf8,KovZpZA6JttA,Pat Metheny,"El guitarrista y compositor PAT METHENY anuncia hoy que regresará a la ciudad para ofrecer un concierto la noche del 25 de marzo de 2020 en el Teatro Metropolitan justo en el corazón de la ciudad. Con los años, Metheny ganó innumerables reconocimientos como ""Mejor guitarrista de jazz"" y premios, incluidos tres discos de oro para Still Life (Talking), Letter from Home y Secret Story. También ha ganado 20 premios Grammy en 12 categorías diferentes, incluyendo Mejor Instrumental de Rock, Mejor Grabación de Jazz Contemporáneo, Mejor Solo Instrumental de Jazz, Mejor Composición Instrumental. El grupo Pat Metheny ganó siete Grammies consecutivos sin precedentes por siete álbumes consecutivos. Metheny ha pasado la mayor parte de su vida de gira, con un promedio de entre 120 y 240 espectáculos por año desde 1974. Ahora, Pat tocará en el Teatro Metropolitan de la Ciudad de México el 25 de marzo de 2020.","Independencia #90 Col. Centro, entre las calles de Balderas",México,Distrito Federal,[{'url': 'https://www.facebook.com/PatMetheny'}],[{'url': 'http://www.patmetheny.com/'}],19.433457,-99.146811,https://www.ticketmaster.com.mx/pat-metheny-mexico-distrito-federal-12-17-2021/event/14005738AC62A210,Music,Jazz,2021-12-17,21:00:00,Teatro Metropolitan
México,1av8zpagklg0xuc,KovZpZA6JttA,Estela Nuñez y Jorge Muñiz celebrando a Mamá,"Dos leyendas de la música romántica unen sus talentos por una razón muy especial: celebrar a la reina del hogar y cantar todas esas canciones con las que se han enamorado, han sufrido y han llorado. Con éxitos como ""Una lagrima""; ""La otra parte de ti"", ""Te acuerdas""; ""Por amores como tu"", ""No prometas lo que no sera"" y ""Tiempo"", entre muchísimas otras, este próximo 10 de mayo en el Teatro Metropolitan, la voz de Estela Núñez acompañada con orquesta y mariachi, y el carisma y talento de Jorge Muñiz, se reunirán y harán una celebración a todas las madres mexicanas única.","Independencia #90 Col. Centro, entre las calles de Balderas",México,Distrito Federal,null,null,19.433457,-99.146811,https://www.ticketmaster.com.mx/estela-nunez-y-jorge-muniz-celebrando-mexico-distrito-federal-02-12-2022/event/1400585AF592236D,Music,Latin,2022-02-12,20:00:00,Teatro Metropolitan
